"Group.1","Group.2","Group.3","Group.4","x"
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",2,"multinom","accuracy",0.5128
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",2,"multinom","accuracy",0.3336
"../scenariosimul/spambase.data",2,"multinom","accuracy",0.8464
"../scenariosimul/cleankdd_train.csv",4,"multinom","accuracy",0.9176
"../scenariosimul/connect-4Train.csv",4,"multinom","accuracy",0.5696
"../scenariosimul/covtype.data",4,"multinom","accuracy",0.5912
"../scenariosimul/HIGGS.csv",4,"multinom","accuracy",0.5848
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",4,"multinom","accuracy",0.5128
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",4,"multinom","accuracy",0.3336
"../scenariosimul/spambase.data",4,"multinom","accuracy",0.8464
"../scenariosimul/cleankdd_train.csv",7,"multinom","accuracy",0.9176
"../scenariosimul/connect-4Train.csv",7,"multinom","accuracy",0.5696
"../scenariosimul/covtype.data",7,"multinom","accuracy",0.5912
"../scenariosimul/HIGGS.csv",7,"multinom","accuracy",0.5848
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",7,"multinom","accuracy",0.5128
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",7,"multinom","accuracy",0.3336
"../scenariosimul/spambase.data",7,"multinom","accuracy",0.8464
"../scenariosimul/cleankdd_train.csv",11,"multinom","accuracy",0.9176
"../scenariosimul/connect-4Train.csv",11,"multinom","accuracy",0.5696
"../scenariosimul/covtype.data",11,"multinom","accuracy",0.5912
"../scenariosimul/HIGGS.csv",11,"multinom","accuracy",0.5848
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",11,"multinom","accuracy",0.5128
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",11,"multinom","accuracy",0.3336
"../scenariosimul/spambase.data",11,"multinom","accuracy",0.8464
"../scenariosimul/cleankdd_train.csv",15,"multinom","accuracy",0.9176
"../scenariosimul/connect-4Train.csv",15,"multinom","accuracy",0.5696
"../scenariosimul/covtype.data",15,"multinom","accuracy",0.5912
"../scenariosimul/HIGGS.csv",15,"multinom","accuracy",0.5848
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",15,"multinom","accuracy",0.5128
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",15,"multinom","accuracy",0.3336
"../scenariosimul/spambase.data",15,"multinom","accuracy",0.8464
