"DATASET","P","CLASSIFIER","STAT","BASE.SUM","BASE.PROD","BASE.MAJ","BASE.MIN","BASE.MAX","DIST.SUM","DIST.PROD","DIST.MAJ","DIST.MIN","DIST.MAX","REV.SUM","REV.PROD","REV.MAJ","REV.MIN","REV.MAX","GLOBAL"
"simulC8",11,"lda","precision",0.397382509956066,0.324036250403314,0.423021853218256,0.259265289199007,0.337138284250343,0.398570976382116,0.324036250403314,0.401519958717626,0.258588269973729,0.359533821745827,0.520110602373242,0.324036250403314,0.483558918240171,0.246411148708314,0.487105814250255,0.341463794727898
"spambase",11,"lda","precision",0.792707961042755,0.6685053411816,0.784636073608591,0.606317905828855,0.642848260319224,0.779620798806428,0.668170598404997,0.766326424848164,0.615026567701558,0.729521176445359,0.753756981580511,0.673708759007864,0.754117117117117,0.610772363984976,0.7228805545933,0.883362727988892
"connect4",15,"lda","precision",0.472942432736033,0.406555383807887,0.475049613454217,0.393221742411325,0.365324811693676,0.472794445011209,0.401792542267584,0.482825059735312,0.393221742411325,0.455087923819493,0.45531149304363,0.401417467891093,0.462119695843827,0.391020323971609,0.459050581636701,0.923807149716813
"covtype",15,"lda","precision",0.513027055809884,0.451497996024786,0.531927094038916,0.460562352569311,0.388097952709534,0.52007044131142,0.451497996024786,0.515910220020182,0.462296871466563,0.460199431129052,0.513027055809884,0.451497996024786,0.528499038439358,0.460562352569311,0.388399199754738,0.515359027849874
"HIGGS",15,"lda","precision",0.53712893825475,0.562713297562898,0.531709711169811,0.556105864364901,0.556105864364901,0.539163974881099,0.562713297562898,0.53099107609672,0.556839990512418,0.531388866354865,0.540348323822816,0.562713297562898,0.533104654113587,0.547341792568967,0.535482706627269,0.614894368260213
"kdd",15,"lda","precision",0.898740840123917,0.735389666268089,0.895285202404113,0.73649307674474,0.768616171274101,0.903546688282735,0.735389666268089,0.902695490534909,0.73649307674474,0.891673452528813,0.874793421264035,0.735389666268089,0.885318490324317,0.73649307674474,0.846457312806207,0.602821583687727
"simulC2",15,"lda","precision",0.491340917734869,0.472655348151008,0.4976760147522,0.475039061335836,0.475039061335836,0.491028833708859,0.472655348151008,0.493131792630154,0.479166570677809,0.455826313671116,0.581792050888224,0.472655348151008,0.57141680852136,0.468364743753022,0.591529456331729,0.527645659797198
"simulC8",15,"lda","precision",0.533472975485076,0.309153277520211,0.523713544054943,0.240719196737866,0.410369299587179,0.517861499597806,0.308442127890406,0.52035329103106,0.241362792156741,0.392596759519791,0.66903222023076,0.30850082352493,0.634007825339403,0.230558002737924,0.640225921481012,0.341463794727898
"spambase",15,"lda","precision",0.801983452950558,0.574492730026198,0.807743708148013,0.52155058555279,0.594609649784178,0.774171802054155,0.574439922698788,0.789358322276279,0.519200043145957,0.608220864668789,0.761915294552901,0.577654725459754,0.758835286722225,0.524571040003109,0.685230236540261,0.883362727988892
"connect4",2,"multinom","precision",0.514570224604389,0.517556017367509,0.504560093120578,0.517687927618267,0.516726171619023,0.518693273570768,0.517556017367509,0.529619289024784,0.517313171690791,0.518945295535373,0.54436134889889,0.517556017367509,0.540854864982373,0.513882278008278,0.54431418233467,0.954247315909384
"covtype",2,"multinom","precision",0.580261070182189,0.618405503005897,0.603920921093547,0.613201758198043,0.576589739158917,0.57571645714247,0.618405503005897,0.58386371454883,0.607598550102003,0.569679768717464,0.579183919378284,0.618405503005897,0.601132844506465,0.613201758198043,0.575511808564722,0.528647569224767
"HIGGS",2,"multinom","precision",0.589521972399782,0.589521972399782,0.538788211637448,0.589521972399782,0.589521972399782,0.585557521438527,0.589521972399782,0.564992445758026,0.592714643677807,0.568744155335699,0.591003753153139,0.589521972399782,0.578088998381595,0.58195171411878,0.589415305806016,0.641185777408053
"kdd",2,"multinom","precision",0.931393976184119,0.922237934286945,0.920840952446675,0.923199217831489,0.93038021362634,0.924968191066221,0.922237934286945,0.932698589863039,0.921262829014157,0.923966286725347,0.932583107911843,0.922237934286945,0.929228023876032,0.922231419378236,0.930080116275583,0.595911534357695
"simulC2",2,"multinom","precision",0.521305190944521,0.521305190944521,0.505644990396536,0.521305190944521,0.521305190944521,0.519312440598993,0.521305190944521,0.512745451226029,0.522776031546377,0.50495201754477,0.532299901653681,0.521305190944521,0.531017829551192,0.498657661606042,0.534744736909544,0.527627174079839
"simulC8",2,"multinom","precision",0.34765892065805,0.344760511108978,0.330620990317223,0.318669686759705,0.369467999389214,0.355429378100733,0.344760511108978,0.345156737066713,0.315348170046331,0.37649650674132,0.38392378417951,0.344760511108978,0.372422158443045,0.285634536505991,0.384344678246107,0.349735350000293
"spambase",2,"multinom","precision",0.83545390706934,0.83545390706934,0.82746519187283,0.83545390706934,0.83545390706934,0.824448227061095,0.83545390706934,0.843749807257446,0.83545390706934,0.824448227061095,0.852040051969751,0.83545390706934,0.852520818115202,0.83545390706934,0.852995997388855,0.853474160550441
"connect4",4,"multinom","precision",0.491451293055476,0.505092022718597,0.482999966506031,0.493522767044034,0.429277018867251,0.490270115594313,0.504874074814494,0.484342341502227,0.493522767044034,0.455733532658365,0.501831309783965,0.504414380847596,0.502184672821471,0.49263453896354,0.489043772701614,0.954247315909384
"covtype",4,"multinom","precision",0.648220738544383,0.585311375167783,0.63929112779459,0.578342970676052,0.58467099360897,0.624848060941254,0.584938734288059,0.644660752899406,0.578211628152549,0.560988692762877,0.648220738544383,0.583740508123505,0.63929112779459,0.578066724290496,0.58467099360897,0.528647569224767
"HIGGS",4,"multinom","precision",0.566622569060642,0.535651894549168,0.581068839356073,0.535607800060979,0.535607800060979,0.570101445228601,0.535651894549168,0.546585748804204,0.535607800060979,0.562682437164212,0.567185372196117,0.535651894549168,0.565479353753939,0.535607800060979,0.547947417594536,0.641185777408053
"kdd",4,"multinom","precision",0.946831060735272,0.932530444052505,0.943606669343842,0.928890595615398,0.954047116638657,0.941977590079032,0.932530444052505,0.941154310437958,0.930448137041012,0.942186135806168,0.950764395265101,0.931814255625447,0.950344557130916,0.928890595615398,0.947580623192028,0.595911534357695
"simulC2",4,"multinom","precision",0.522911681732402,0.520224814119117,0.49947529668303,0.509339895492563,0.509339895492563,0.510172082201028,0.520224814119117,0.497861963376182,0.536973447714264,0.486446488400061,0.531423930946291,0.520224814119117,0.527207793698482,0.474255029662816,0.526886159968962,0.527627174079839
"simulC8",4,"multinom","precision",0.350546370499303,0.32775031693738,0.353422033854325,0.314616772371519,0.3461641165282,0.347272599766592,0.32775031693738,0.344088656472929,0.323065346247602,0.335036552718507,0.400672092514696,0.32775031693738,0.401480497347843,0.270437735984041,0.403217728388318,0.349735350000293
"spambase",4,"multinom","precision",0.875106798296806,0.794971802245891,0.864905889037507,0.794971802245891,0.794971802245891,0.848654586128595,0.794971802245891,0.861106130276343,0.794971802245891,0.817953608756893,0.862731370195879,0.794971802245891,0.864056868539742,0.794971802245891,0.843168211279622,0.853474160550441
"connect4",7,"multinom","precision",0.536561254074887,0.537844734649308,0.521266641800445,0.526932952196317,0.473084863312429,0.534501170855261,0.537844734649308,0.524065937233883,0.522597648880233,0.468726638561728,0.524149378112131,0.537844734649308,0.52226553367108,0.52420663027241,0.497500995862482,0.954247315909384
"covtype",7,"multinom","precision",0.581091852331126,0.567450792913937,0.576060935440654,0.531911187628225,0.513143250711895,0.585267189607831,0.567693688954167,0.579364553872924,0.531373468880409,0.478687117335837,0.581091852331126,0.566893769509969,0.57468097594651,0.531911187628225,0.514149927727898,0.528647569224767
"HIGGS",7,"multinom","precision",0.532218162645868,0.489330862640699,0.532039134398432,0.489330862640699,0.489330862640699,0.532997085803696,0.489330862640699,0.532039134398432,0.489330862640699,0.507451600923025,0.553072548271788,0.489330862640699,0.552155233794375,0.489330862640699,0.541710813369637,0.641185777408053
"kdd",7,"multinom","precision",0.876687582421542,0.86012067287756,0.879391216880759,0.845133588945939,0.871344109239781,0.881800597062677,0.859623546937359,0.877491466157348,0.845834915253269,0.855099331730748,0.876417332034627,0.859623546937359,0.876004265097097,0.845413234738721,0.871802175808134,0.595911534357695
"simulC2",7,"multinom","precision",0.533146240122174,0.533076044863431,0.554600876372893,0.515206722026798,0.515206722026798,0.540750155832711,0.533076044863431,0.568117253988973,0.53996793565554,0.541723635144225,0.588075730975562,0.533076044863431,0.594666249876987,0.519765886591928,0.601332670395148,0.527627174079839
"simulC8",7,"multinom","precision",0.464740567992088,0.396875755648825,0.437333663938704,0.362946673507292,0.419762278250096,0.446997220266685,0.396875755648825,0.46154110769212,0.36098238855483,0.392091090154634,0.533944981660523,0.396875755648825,0.516456361830268,0.349368300783333,0.514131240860927,0.349735350000293
"spambase",7,"multinom","precision",0.864540956569102,0.793693332754202,0.865005397268946,0.793693332754202,0.793693332754202,0.855552357293091,0.793693332754202,0.86638700601513,0.793693332754202,0.825218231718447,0.820067192305902,0.793693332754202,0.820170591582461,0.793693332754202,0.7912702594906,0.853474160550441
"connect4",11,"multinom","precision",0.518287232656891,0.560583611683258,0.515571959497208,0.514973110077336,0.483804642632336,0.51198239362191,0.560583611683258,0.508641177914027,0.515637812952651,0.477586064932628,0.552013163960429,0.560583611683258,0.554873570138741,0.51447455982156,0.490674187809367,0.954247315909384
"covtype",11,"multinom","precision",0.62172713023836,0.600769440598209,0.618242572068814,0.517218851919083,0.544294780698305,0.612260057323767,0.600769440598209,0.609785341876128,0.516546441190885,0.513293721808551,0.62172713023836,0.599103340995056,0.623010472482641,0.517218851919083,0.544220293293289,0.528647569224767
"HIGGS",11,"multinom","precision",0.522539585220804,0.525532346109175,0.517943232221108,0.525532346109175,0.525532346109175,0.521785573783626,0.525532346109175,0.519845124323582,0.525532346109175,0.539282103833324,0.524639543064244,0.525532346109175,0.530338735051253,0.525532346109175,0.527384361161009,0.641185777408053
"kdd",11,"multinom","precision",0.849199663980976,0.858398981536094,0.872513599214897,0.721184251654439,0.700801088996217,0.845995499031055,0.858365858534212,0.833386134176957,0.721656542374641,0.819845268954103,0.84569963535632,0.858141114832092,0.845347039551761,0.721002502057375,0.81307593083802,0.595911534357695
"simulC2",11,"multinom","precision",0.538644629781928,0.538343950177842,0.539669524717104,0.526257114867992,0.526257114867992,0.540016469636088,0.538343950177842,0.53613973937401,0.537370525770329,0.535980991721675,0.59287776851665,0.538343950177842,0.585534147610427,0.511284311427101,0.591964865160569,0.527627174079839
"simulC8",11,"multinom","precision",0.397004619059055,0.266804449487195,0.397812970973765,0.285002843975612,0.343426306619844,0.421141290982713,0.266270311197315,0.387426617017049,0.284989711113315,0.366520935057499,0.490991211620797,0.250168629732189,0.471154309056194,0.28430111863986,0.477390978304684,0.349735350000293
"spambase",11,"multinom","precision",0.834009564608485,0.715804501842493,0.833103732084575,0.715804501842493,0.715804501842493,0.82735616321351,0.715804501842493,0.831747582096267,0.715804501842493,0.745954014417102,0.825806503837975,0.715804501842493,0.8113889943074,0.715804501842493,0.787457562385234,0.853474160550441
"connect4",15,"multinom","precision",0.549097960397819,0.536410629729942,0.524048857591871,0.511107002944758,0.481993888763794,0.546413945395231,0.536410629729942,0.531230921662533,0.510373072600376,0.457716493938034,0.540098809080521,0.536410629729942,0.536319565733938,0.51304936390142,0.482907184198611,0.954247315909384
"covtype",15,"multinom","precision",0.547847101310438,0.542626893433894,0.563652057113069,0.397901525648835,0.480646285426512,0.557901997139723,0.542925987486162,0.547965733391341,0.39612603032669,0.469067781340292,0.547847101310438,0.532327675548431,0.563521079051293,0.397901525648835,0.475681309354743,0.528647569224767
"HIGGS",15,"multinom","precision",0.515472960569376,0.4906,0.517455491901938,0.4906,0.4906,0.513756885354393,0.4906,0.517379956385877,0.4906,0.51441139470825,0.517079475611573,0.4906,0.51373699468292,0.4906,0.531694538401216,0.641185777408053
"kdd",15,"multinom","precision",0.929872635410673,0.845725337535382,0.931073420766538,0.848560263454921,0.884983679937509,0.933528335473608,0.842927897930588,0.918215249277194,0.848793211034547,0.893924552041171,0.911289546327285,0.833343630442918,0.912316523748434,0.848839320001679,0.85560301304835,0.595911534357695
"simulC2",15,"multinom","precision",0.499626545767646,0.511313469872627,0.489116703668205,0.519957680652621,0.519957680652621,0.515288770790988,0.511313469872627,0.484246566975659,0.520692929694766,0.469892791656168,0.590001738068914,0.511313469872627,0.560318029816433,0.521475107174259,0.587869691304676,0.527627174079839
"simulC8",15,"multinom","precision",0.551131942574608,0.124988811773311,0.549714286336749,0.1750898846878,0.303814880984107,0.528897070342726,0.123068642662284,0.556379973997345,0.175004456284678,0.370917410322613,0.663795242709654,0.120447444714072,0.653917215272176,0.174746727927095,0.626984060349557,0.349735350000293
"spambase",15,"multinom","precision",0.844875218950832,0.685665018871706,0.847189112523469,0.684302949906189,0.684302949906189,0.856178016464503,0.685665018871706,0.84065267688618,0.684302949906189,0.765127973136212,0.829576858461549,0.685665018871706,0.828536430061003,0.684302949906189,0.7594641106188,0.853474160550441
"connect4",2,"svm","precision",0.537541567065073,0.53700823373174,0.560183991307497,0.53700823373174,0.537541567065073,0.537541567065073,0.53700823373174,0.537756175298805,0.53700823373174,0.537756175298805,0.57140823373174,0.53700823373174,0.561250657974164,0.536474900398406,0.57140823373174,0.887095987315911
"covtype",2,"svm","precision",0.411054448871182,0.411054448871182,0.411054448871182,0.411054448871182,0.411054448871182,0.411054448871182,0.411054448871182,0.411054448871182,0.411054448871182,0.411054448871182,0.411054448871182,0.411054448871182,0.411054448871182,0.411054448871182,0.411054448871182,0.51498560936975
"HIGGS",2,"svm","precision",0.47240603954415,0.47240603954415,0.477317910578497,0.47240603954415,0.47240603954415,0.465856198552752,0.47240603954415,0.516124827823691,0.483033242626859,0.444987677364051,0.469510485320286,0.47240603954415,0.483903381347025,0.478181356866081,0.467477526665405,0.457508935685828
"kdd",2,"svm","precision",0.888109974851254,0.891343398971529,0.911086094360156,0.890743398971529,0.879862287255228,0.8723681102669,0.891343398971529,0.886797480314961,0.894115118082031,0.862886624549891,0.891382639345645,0.891343398971529,0.87242884871889,0.884111526085697,0.889072754820937,0.552709711959496
"simulC2",2,"svm","precision",0.53023194023099,0.53023194023099,0.569896362229102,0.53023194023099,0.53023194023099,0.535169975505741,0.53023194023099,0.57785924882704,0.555756182687292,0.538328496419089,0.530710895765682,0.53023194023099,0.545336380016981,0.528646477131407,0.543070319119137,0.607104149176047
"simulC8",2,"svm","precision",0.699586263983383,0.69732177140832,0.668720804064279,0.69242078852369,0.696921978579345,0.683715722916489,0.69732177140832,0.66134985580219,0.684867946802855,0.67761411434852,0.695777770244423,0.69732177140832,0.686379453543691,0.616492589826748,0.691038722561237,0.774636961011569
"spambase",2,"svm","precision",0.686249299343355,0.686249299343355,0.617464578438248,0.686249299343355,0.686249299343355,0.687074140942473,0.686249299343355,0.653303107032941,0.699501715075497,0.684976357033216,0.683328935175409,0.686249299343355,0.661250345833594,0.661044364280449,0.661666483016194,0.763105684331418
"connect4",4,"svm","precision",0.524719256308101,0.524719256308101,0.524719256308101,0.524719256308101,0.524719256308101,0.524719256308101,0.524719256308101,0.524719256308101,0.524719256308101,0.524719256308101,0.524719256308101,0.524719256308101,0.524719256308101,0.524719256308101,0.524087395531662,0.887095987315911
"covtype",4,"svm","precision",0.465332270916335,0.465332270916335,0.465332270916335,0.465332270916335,0.465332270916335,0.465332270916335,0.465332270916335,0.465332270916335,0.465332270916335,0.465332270916335,0.465332270916335,0.465332270916335,0.465332270916335,0.465332270916335,0.465332270916335,0.51498560936975
"HIGGS",4,"svm","precision",0.403808659139376,0.403326052655674,0.456973546003997,0.504976359497077,0.504976359497077,0.408953916578505,0.403326052655674,0.442502759623273,0.412572495192755,0.49293466014705,0.408236548072298,0.403326052655674,0.509252079244457,0.452644984590959,0.473132398509977,0.457508935685828
"kdd",4,"svm","precision",0.834860504945177,0.852050661060429,0.860684520163163,0.8647812931266,0.835803999148264,0.78885731713268,0.852050661060429,0.790459236072254,0.851060004907373,0.769095219933893,0.849693093146934,0.852050661060429,0.846119230356294,0.84499356766422,0.850559207884638,0.552709711959496
"simulC2",4,"svm","precision",0.502815244144189,0.505434552967957,0.488588114118794,0.500028771996348,0.500028771996348,0.515014633021133,0.505434552967957,0.458504379671669,0.475958222419211,0.49219438867997,0.493286509557539,0.505434552967957,0.460121182010452,0.507660564399274,0.451369756631755,0.607104149176047
"simulC8",4,"svm","precision",0.618335648582318,0.615780621145843,0.593614767537221,0.540369545653511,0.621188070391249,0.59825913389661,0.615780621145843,0.568188073089776,0.551377114830717,0.565695969790103,0.650093038367688,0.615780621145843,0.617069895657661,0.470703933423043,0.625469190222016,0.774636961011569
"spambase",4,"svm","precision",0.636960834778774,0.638146891132091,0.547399575010862,0.663037627587512,0.663037627587512,0.649697976062349,0.638146891132091,0.557473319597006,0.631326756438591,0.572984225532333,0.652285647157771,0.638146891132091,0.644248502825368,0.624038313470246,0.646342766753417,0.763105684331418
"connect4",7,"svm","precision",0.521431075697211,0.521431075697211,0.521431075697211,0.519526622255916,0.519526622255916,0.521431075697211,0.521431075697211,0.521431075697211,0.519526622255916,0.520397062091769,0.521431075697211,0.521431075697211,0.520797073019835,0.520329861122312,0.518620991663598,0.887095987315911
"covtype",7,"svm","precision",0.387601897173212,0.387601897173212,0.387601897173212,0.387601897173212,0.387601897173212,0.387601897173212,0.387601897173212,0.387601897173212,0.387601897173212,0.387601897173212,0.387601897173212,0.387601897173212,0.387601897173212,0.387601897173212,0.387601897173212,0.51498560936975
"HIGGS",7,"svm","precision",0.488475392290991,0.492275020706281,0.496932314198565,0.488436060124367,0.488436060124367,0.500752894216231,0.492275020706281,0.496932314198565,0.500344674026162,0.518987852282009,0.497232274339021,0.492275020706281,0.493057636728689,0.486794139219275,0.514198086670942,0.457508935685828
"kdd",7,"svm","precision",0.558269697049808,0.628513324479858,0.597378239397309,0.730353104537723,0.553104412557874,0.552050094871106,0.628513324479858,0.59851031554148,0.663369329272397,0.572017431691543,0.671640766541293,0.628513324479858,0.668985743821255,0.684508490428877,0.683122661524255,0.552709711959496
"simulC2",7,"svm","precision",0.5622642854479,0.559830366588693,0.523661694173009,0.564494649082077,0.564494649082077,0.549007975954001,0.559830366588693,0.5253726586184,0.552366802433509,0.520646437939931,0.533331795037331,0.559830366588693,0.505840384097167,0.513954796908815,0.513874777853725,0.607104149176047
"simulC8",7,"svm","precision",0.367395244599234,0.354647059522588,0.364348159641691,0.240139367809889,0.429813678757851,0.380270827352279,0.354647059522588,0.327277538389466,0.219750362780576,0.379507500936852,0.383309245980822,0.354647059522588,0.324623588711531,0.230780641823666,0.359544904921407,0.774636961011569
"spambase",7,"svm","precision",0.690962887760857,0.613116805691,0.512634518128261,0.595539821251241,0.595539821251241,0.585458129674664,0.613116805691,0.512634518128261,0.570321350628795,0.580158296303594,0.584372732075663,0.613116805691,0.568151778200054,0.52662668972649,0.543766455144955,0.763105684331418
"connect4",11,"svm","precision",0.505930411686587,0.505930411686587,0.505930411686587,0.49811301470822,0.502894346112817,0.505930411686587,0.505930411686587,0.505930411686587,0.565642363977809,0.502730411686587,0.505930411686587,0.505930411686587,0.505930411686587,0.500073247326333,0.565312288978464,0.887095987315911
"covtype",11,"svm","precision",0.412154354012521,0.412154354012521,0.412154354012521,0.412154354012521,0.412154354012521,0.412154354012521,0.412154354012521,0.412154354012521,0.412154354012521,0.412154354012521,0.412154354012521,0.412154354012521,0.412154354012521,0.412154354012521,0.412154354012521,0.51498560936975
"HIGGS",11,"svm","precision",0.541314683416091,0.539012132850144,0.504534190967561,0.531718090204087,0.531718090204087,0.535829238330654,0.539012132850144,0.503970633511932,0.532013957731874,0.558853081907381,0.536186304709445,0.539012132850144,0.519786971874959,0.51667794932942,0.530881053487497,0.457508935685828
"kdd",11,"svm","precision",0.374783773408391,0.378757025454667,0.378757025454667,0.431040309099456,0.37281593625498,0.373798351973632,0.378757025454667,0.424245418326693,0.387006596988444,0.465066486687049,0.467591351340004,0.378757025454667,0.483203381617206,0.388861282766362,0.507204349059215,0.552709711959496
"simulC2",11,"svm","precision",0.470854190213753,0.472679155819556,0.49987457324381,0.489727463927611,0.489727463927611,0.457614582749763,0.472679155819556,0.512610980064711,0.499508961097954,0.431459456329945,0.462668192219679,0.472679155819556,0.457413706135667,0.510904001870498,0.458343273353039,0.607104149176047
"simulC8",11,"svm","precision",0.0171268134215526,0.0168961252956452,0.0658619640214433,0.0328278697586302,0.124732171030156,0.028974577454586,0.0168961252956452,0.0666679271637286,0.0316351582352513,0.091922687361308,0.0633679202664642,0.0168961252956452,0.069677075604066,0.0957561059243793,0.0719020000246643,0.774636961011569
"spambase",11,"svm","precision",0.493570821755932,0.467025730789428,0.495361111111111,0.435648323845667,0.435648323845667,0.488970436067997,0.467025730789428,0.499782426778243,0.478755840586349,0.478772486772487,0.484111836736539,0.467025730789428,0.489800339092147,0.489614430879798,0.48606539947863,0.763105684331418
"connect4",15,"svm","precision",0.477419389110226,0.477419389110226,0.477419389110226,0.611173439575033,0.477419389110226,0.477419389110226,0.477419389110226,0.477419389110226,0.61053729499672,0.477419389110226,0.477419389110226,0.477419389110226,0.477419389110226,0.5442401062417,0.506963253838399,0.887095987315911
"covtype",15,"svm","precision",0.461528059191804,0.461528059191804,0.431932157085942,0.461528059191804,0.461528059191804,0.461528059191804,0.461528059191804,0.431932157085942,0.431932157085942,0.431932157085942,0.461528059191804,0.461528059191804,0.431932157085942,0.461528059191804,0.461528059191804,0.51498560936975
"HIGGS",15,"svm","precision",0.502931215580716,0.498956111778491,0.507917248116909,0.481875535533789,0.481875535533789,0.500868164730007,0.498956111778491,0.509817012453122,0.474761631870967,0.496572617337251,0.510829636423858,0.498956111778491,0.501634546959579,0.480598626134547,0.507507893475109,0.457508935685828
"kdd",15,"svm","precision",0.369037450199203,0.369037450199203,0.369037450199203,0.3672320113096,0.369037450199203,0.369037450199203,0.369037450199203,0.369037450199203,0.37071249201921,0.369037450199203,0.458659839352268,0.369037450199203,0.521292249187191,0.369037450199203,0.521336284856866,0.552709711959496
"simulC2",15,"svm","precision",0.492933211166086,0.497425819373991,0.491626230534798,0.481261339372344,0.481261339372344,0.479178676395846,0.497425819373991,0.487120853554291,0.499466120413305,0.480449101337429,0.459112264960263,0.497425819373991,0.476938661482426,0.522390599201284,0.464570865482494,0.607104149176047
"simulC8",15,"svm","precision",0.00301110320724956,0.00435711733174508,0.0246572621524501,0.0040530612244898,0.0550574208775945,0.0025629820682879,0.00435711733174508,0.0203609593226187,0.00689954846073822,0.099631965054884,0.00953280454305948,0.00435711733174508,0.0302121597783647,0.0239753873474485,0.0306738254344211,0.774636961011569
"spambase",15,"svm","precision",0.436900083090985,0.433538821954485,0.455241379310345,0.423545685210073,0.423545685210073,0.436147058823529,0.433538821954485,0.472855769230769,0.394799571858669,0.456346843615495,0.426249101442835,0.433538821954485,0.432026460923292,0.431514313915044,0.431868055555556,0.763105684331418
"connect4",2,"xgboost","precision",0.587057507205349,0.575174941264662,0.575503797862851,0.585434007626799,0.583826778612704,0.592700485065227,0.575174941264662,0.554922814350193,0.57995015558035,0.59199794753428,0.582257830811343,0.575174941264662,0.574740768166056,0.56739310864146,0.58193952255575,0.952458277535611
"covtype",2,"xgboost","precision",0.636977818306967,0.636015187382121,0.617210569534254,0.637357894387754,0.633098572611014,0.627073719371651,0.636015187382121,0.613205957454635,0.640626206348956,0.619384240738411,0.636977818306967,0.636015187382121,0.612949267864079,0.637357894387754,0.633098572611014,0.597183252854044
"HIGGS",2,"xgboost","precision",0.570246658344338,0.570246658344338,0.528868721246032,0.570246658344338,0.570246658344338,0.567974011339835,0.570246658344338,0.537678115772191,0.567310509705113,0.564621761907476,0.562631633846433,0.570246658344338,0.545425996921105,0.570173346480131,0.553479186900316,0.654057270843078
"kdd",2,"xgboost","precision",0.944078564423718,0.942803943564685,0.919381513740494,0.940714734286472,0.944662205124879,0.929430038773324,0.942803943564685,0.933831564306184,0.93719814047564,0.93043554237069,0.944579419770827,0.942803943564685,0.925992056904713,0.938243577851308,0.944407743452482,0.618583874703011
"simulC2",2,"xgboost","precision",0.523150394367342,0.523150394367342,0.54208052429154,0.523150394367342,0.523150394367342,0.539704085685919,0.523150394367342,0.544240651883246,0.527298424321976,0.550147586755404,0.55417001626764,0.523150394367342,0.571804467514142,0.520582721281771,0.569273175510904,0.588681854079258
"simulC8",2,"xgboost","precision",0.656240318585421,0.64046396141585,0.591672577744262,0.634798280252939,0.644458581170843,0.648541303913766,0.64046396141585,0.594076766374286,0.632988633773891,0.633717742309066,0.667694414175321,0.64046396141585,0.646898118518232,0.59376597347406,0.665463790384915,0.692354962060925
"spambase",2,"xgboost","precision",0.899428114557484,0.899428114557484,0.870765489562285,0.899428114557484,0.899428114557484,0.895572381160446,0.899428114557484,0.87820344880597,0.895093799208313,0.895098083078714,0.895388301103312,0.899428114557484,0.886118583179457,0.89674225559218,0.890105180236916,0.911316493699982
"connect4",4,"xgboost","precision",0.53015195213496,0.524997503251354,0.526041673847384,0.52273722679187,0.525599969011327,0.526367710061711,0.524997503251354,0.525180287416705,0.529374124470618,0.547310996585653,0.525657005722446,0.524997503251354,0.530758750567593,0.522744794113552,0.565564682304416,0.952458277535611
"covtype",4,"xgboost","precision",0.672977844409542,0.673415524772282,0.646417782555134,0.675178540202758,0.67590216493183,0.670038791996836,0.673415524772282,0.652161037507795,0.674735211005758,0.638474970066581,0.672977844409542,0.673415524772282,0.646417782555134,0.675178540202758,0.67590216493183,0.597183252854044
"HIGGS",4,"xgboost","precision",0.598358010720667,0.601148111409757,0.594097645558088,0.573540689237717,0.573540689237717,0.606225061780595,0.601148111409757,0.570379520249648,0.567845733282289,0.578985061343822,0.597145549139118,0.601148111409757,0.576388042934742,0.586855812280815,0.590203957062516,0.654057270843078
"kdd",4,"xgboost","precision",0.94991674902309,0.945098894786846,0.951330102266126,0.935843239907157,0.933236356219237,0.94460296040235,0.945098894786846,0.933631980978171,0.943113629514005,0.936696213450358,0.950772616601788,0.945098894786846,0.947523650003819,0.938350080663769,0.939996358151167,0.618583874703011
"simulC2",4,"xgboost","precision",0.567338163295738,0.556941931812111,0.539932197997253,0.544267915226486,0.544267915226486,0.546661330448095,0.556941931812111,0.54483112835108,0.551826448879601,0.510843378929256,0.581505862360587,0.556941931812111,0.567734047590844,0.521891254372814,0.573312990320297,0.588681854079258
"simulC8",4,"xgboost","precision",0.599330414004314,0.588142502093987,0.581819549718951,0.508510468254955,0.576970650391508,0.589040918530829,0.588142502093987,0.529271356520668,0.50114751506503,0.546208796887399,0.622959321631803,0.588142502093987,0.607337298870074,0.430683993313464,0.617715941145926,0.692354962060925
"spambase",4,"xgboost","precision",0.889160661628925,0.889441154496577,0.884306462156991,0.892966062145065,0.892966062145065,0.889045526246486,0.889441154496577,0.887463632725709,0.893640513119466,0.887011383014744,0.879851927655822,0.889441154496577,0.870945131559622,0.887398250796314,0.876796150604291,0.911316493699982
"connect4",7,"xgboost","precision",0.593516846798349,0.659475551605718,0.618518179178624,0.523616465269324,0.525113631427217,0.593516846798349,0.659475551605718,0.619662232368733,0.524575282880088,0.575888318820756,0.59473512789186,0.659475551605718,0.59809862704461,0.603494561057063,0.547865844066397,0.952458277535611
"covtype",7,"xgboost","precision",0.630068833459781,0.63333495274297,0.618012555323775,0.60454350552344,0.611863803580338,0.628892282101551,0.63333495274297,0.598561966907744,0.6099010703266,0.599352073128688,0.630068833459781,0.63333495274297,0.618844994252376,0.60454350552344,0.611863803580338,0.597183252854044
"HIGGS",7,"xgboost","precision",0.584912114488257,0.592830210206428,0.570631550832209,0.574889367816092,0.574889367816092,0.573038550967605,0.592830210206428,0.570631550832209,0.575166320744159,0.544013715380463,0.57935151006401,0.592830210206428,0.577906321434602,0.569292824017639,0.560061056393622,0.654057270843078
