"DATASET","P","CLASSIFIER","STAT","BASE.SUM","BASE.PROD","BASE.MAJ","BASE.MIN","BASE.MAX","DIST.SUM","DIST.PROD","DIST.MAJ","DIST.MIN","DIST.MAX","REV.SUM","REV.PROD","REV.MAJ","REV.MIN","REV.MAX","GLOBAL"
"simulC2",15,"xgboost","accuracy",0.5408,0.5264,0.5136,0.5064,0.5064,0.5296,0.5264,0.5104,0.5064,0.5208,0.6144,0.5264,0.6168,0.4728,0.6216,0.572
"simulC8",15,"xgboost","accuracy",0.3664,0.3344,0.364,0.2032,0.3136,0.364,0.3344,0.3704,0.2056,0.3512,0.5144,0.3344,0.5032,0.216,0.46,0.7328
"spambase",15,"xgboost","accuracy",0.867,0.866,0.861,0.846,0.846,0.865,0.866,0.853,0.836,0.825,0.841,0.866,0.851,0.834,0.812,0.9016
"connect4",2,"forest","precision",0.562033211389528,0.557425154727288,0.573274543256888,0.549016976901139,0.575642530166659,0.562033211389528,0.557425154727288,0.530504474478308,0.564971997344181,0.578883198590497,0.562033211389528,0.557425154727288,0.576894919216744,0.549476789308669,0.578076367456935,0.956563661548738
"covtype",2,"forest","precision",0.647099491961795,0.645943071877961,0.639819452744763,0.646689375974028,0.647205148492193,0.646804310979075,0.645943071877961,0.640030555478554,0.644597771533128,0.632971145072944,0.647099491961795,0.645943071877961,0.63330355137123,0.646689375974028,0.647205148492193,0.582229235896413
"HIGGS",2,"forest","precision",0.597945102283338,0.597945102283338,0.554380967203931,0.597945102283338,0.597945102283338,0.599656860675766,0.59807874158938,0.550967651052855,0.578728753637871,0.58007810311411,0.600112932078795,0.598784685645324,0.554426464013366,0.588260864212131,0.571657351330276,0.653296533640633
"kdd",2,"forest","precision",0.946515595573725,0.944712681004651,0.92680175794988,0.936684503959596,0.948603818280292,0.938518682905185,0.944712681004651,0.943254520618765,0.935572625351252,0.938899443857491,0.945258592513732,0.944712681004651,0.944019664716204,0.928372231668129,0.948400679052206,0.625410335825676
"simulC2",2,"forest","precision",0.55547093249765,0.55547093249765,0.551941470561402,0.55547093249765,0.55547093249765,0.555202012280885,0.556389139780563,0.558112963197594,0.554171581143394,0.552327606114613,0.573716650778604,0.556963528400777,0.584396443628642,0.530923504879063,0.576003993814253,0.624224339188562
"simulC8",2,"forest","precision",0.744498329849109,0.731913362027608,0.697089146968248,0.71325172170093,0.732664155989452,0.72618041359966,0.731913362027608,0.687318769232684,0.712125530583672,0.730244993277548,0.760661642243189,0.731913362027608,0.749332127747346,0.661458647740524,0.753576189560111,0.786827708680371
"spambase",2,"forest","precision",0.917415669771805,0.917415669771805,0.902017535385922,0.917415669771805,0.917415669771805,0.92083509809,0.916991388497523,0.90874227180117,0.914785210982247,0.921816789743022,0.915971041738067,0.917415669771805,0.915179496320673,0.910976423157555,0.914673166516131,0.925266097533329
"connect4",4,"forest","precision",0.521122617652639,0.519844680036914,0.584588746294882,0.519236987000987,0.519558135023413,0.520484094564078,0.519844680036914,0.585231316576006,0.521266264855109,0.516377817558388,0.521599320722531,0.519844680036914,0.517771191973029,0.520368465069935,0.523571543081037,0.956563661548738
"covtype",4,"forest","precision",0.657788952255646,0.657223827916519,0.64116946405299,0.650372425540399,0.642457795160487,0.653078101910591,0.657223827916519,0.632230409933815,0.617456856454283,0.628935625412925,0.657788952255646,0.657223827916519,0.64116946405299,0.650372425540399,0.642457795160487,0.582229235896413
